# Dump Cloned {
Points:
106414.914062 104744.882812 0
105147.101562 103549.640625 0
97739.203125 104582.625 0
97846.1484375 104491.429688 0
105160.296875 103388.703125 0
105148.929688 103427.554688 0
98188.6640625 104341.53125 0
97608.28125 104564.703125 0
105152.601562 103206.898438 0
105143.804688 103245.023438 0
97198.6953125 104838.578125 0
105149.945312 103048.632812 0
105143.523438 103086.203125 0
102814.671875 104303.140625 0
97457.921875 104633.429688 0
97223.5859375 104712.789062 0
97232.5546875 104645.179688 0
105127.304688 102948.507812 0
105136.242188 102824.4375 0
106565.3125 105513.421875 0
97232.546875 104544.960938 0
97221.0078125 104496.976562 0
106522.484375 104720.734375 0
99882.5703125 104856.671875 0
105139.34375 102673.773438 0
105138.125 102709.851562 0
97217.4609375 104387.28125 0
105137.421875 102562.90625 0
105129.210938 102460.460938 0
97064.0078125 104371.90625 0
96997.3984375 104361.054688 0
96895.515625 104356.46875 0
105121.882812 102296.90625 0
105125.726562 102331.117188 0
105119.179688 102165.289062 0
96756.4453125 104347.710938 0
96863.984375 104233.351562 0
105106.25 102061.617188 0
105108.484375 101953.632812 0
96631.0625 104351.78125 0
96573.234375 104328.492188 0
97119.1484375 103991.429688 0
99552.203125 102709.421875 0
106653.320312 104689.390625 0
96796.75 104100.882812 0
105099 101775.8125 0
105109.273438 101807.539062 0
105109.273438 101839.390625 0
96902.828125 104068.953125 0
96694.2421875 104120.304688 0
96077.3828125 104360.078125 0
102968.484375 101788.273438 0
103219.476562 104465.78125 0
97010.4765625 104067.492188 0
97582.1875 103616.882812 0
102745.640625 101794.796875 0
103295.375 101773.210938 0
104844.265625 101710.570312 0
103175.765625 101780.453125 0
104244.4375 101723.9375 0
96934.1328125 103966.539062 0
102633.695312 101799.03125 0
104593.53125 101712.695312 0
104974.59375 101716.664062 0
106759.296875 104672.90625 0
96731.0625 103997.421875 0
104064.257812 101718.648438 0
104425 101711.945312 0
104696.257812 101718.03125 0
103290.921875 104549.671875 0
98552.75 104059.289062 0
97562.8203125 103509.890625 0
103694.960938 101731.695312 0
97038.296875 103926.90625 0
103892.421875 101718.671875 0
96997.6484375 104200.59375 0
103556.125 101736.6875 0
102859.265625 101793.648438 0
103030.054688 104638.632812 0
103032.359375 104695.171875 0
103033.796875 104751.9375 0
97115.796875 104137.382812 0
97215.53125 104044.085938 0
97166.7890625 103885.445312 0
97283.6796875 103749.5625 0
97616.2578125 103380.117188 0
103364.375 104658.414062 0
102969.726562 104486.625 0
97710.9765625 103326.023438 0
103075.109375 101791.460938 0
103406.546875 101738.320312 0
105561.835938 104884.726562 0
106853.53125 104632.4375 0
99820.8671875 104774.609375 0
99767.2265625 104864.390625 0
105062.46875 101641.078125 0
106964.125 104613.195312 0
102911.976562 104725.070312 0
105688.132812 104948.53125 0
107080.203125 104588.390625 0
105261.867188 103843.539062 0
105157.679688 101560.664062 0
107174.5625 104534.539062 0
102916.09375 104617.984375 0
101739.71875 105016.742188 0
105824.65625 105006.09375 0
103258.851562 104656.367188 0
102776.28125 104579.59375 0
107163.953125 104405.164062 0
101703.101562 105124.359375 0
99641.140625 104860.78125 0
96374.3125 104364.40625 0
96262.0703125 104417.34375 0
94887.0859375 104170.078125 0
94887.7421875 104102.703125 0
95791.7578125 103920.890625 0
95814.4296875 103859.257812 0
97402.9140625 103288.195312 0
96961.5 103258.703125 0
96960.125 103210.820312 0
96979.1640625 103162.601562 0
96968.6328125 103114.945312 0
91988.515625 103057.960938 0
91989.0859375 102966.679688 0
95455.8984375 103962.546875 0
97194.0703125 103281.960938 0
91862.765625 102843 0
91795.2578125 102748.617188 0
91848.5078125 102657.8125 0
91842.59375 102565 0
91837.5 102472.054688 0
91833.21875 102378.984375 0
91889.59375 102290.265625 0
92225.7265625 102225.804688 0
93866.609375 102287.664062 0
98758.8828125 102707.320312 0
96649.46875 103058.289062 0
91971.546875 102863.820312 0
92681.578125 102281.484375 0
92798.4140625 102206.40625 0
99131.703125 102690 0
99254.2421875 102676.257812 0
94855.421875 104267.289062 0
95661.9375 103899.304688 0
97545.90625 103283.070312 0
93186.5390625 102263.453125 0
93592.0859375 102221.335938 0
99677.84375 102564.09375 0
95838.03125 104189.695312 0
95710.0390625 104151.664062 0
92098.78125 102205.617188 0
98864.0859375 102679.070312 0
98907.3359375 102653.015625 0
96848.953125 103099.460938 0
92391.1015625 102256.515625 0
92627.5859375 102189.742188 0
96087.375 104252.632812 0
94993.09375 104063.570312 0
93472.46875 102240.976562 0
92959.6328125 102260.0625 0
95473.0625 104173.039062 0
95348.1328125 104002.570312 0
91857.5625 103122.070312 0
91836.921875 103030.757812 0
95587.5078125 103983.453125 0
96746.3046875 103094.101562 0
95959.0390625 104167.921875 0
95378.2578125 104216.367188 0
92000.953125 102243.695312 0
97083.21875 103285.507812 0
99020.0234375 102666.632812 0
99729.21875 99540.59375 0
93323.0625 102236.867188 0
99366.2421875 102695.8125 0
97087.2578125 104245.84375 0
95933.6484375 103940 0
95935.640625 103886.171875 0
94694.96875 104334.5 0
97300.859375 103286.351562 0
99797.703125 99643.8515625 0
95260.515625 104236.179688 0
94970.5546875 104283.875 0
92505.796875 102245.234375 0
95153.359375 104258.921875 0
95602.3125 104184.195312 0
